sample_order,dataset_index,label,channel,channel_index,shap_value,feature_value
5,121893,-1,As,7,-0.017315216474637633,0.4051429331302643
5,121893,-1,Au,8,0.21897095515571113,1.0235234498977661
5,121893,-1,Cu,9,-0.004658154428417548,-0.3411058187484741
5,121893,-1,Sb,10,0.0058902259210815815,0.16617098450660706
5,121893,-1,ΔT,11,0.0019571244138867176,-0.4252505898475647
6,55855,-1,Feature 1,0,-0.023314408432158106,0.5484647750854492
6,55855,-1,Feature 2,1,-0.018985624808566644,-0.7026727795600891
6,55855,-1,Feature 3,2,0.021067803400766815,-1.5122320652008057
6,55855,-1,Feature 4,3,0.15444215982568668,-1.1228821277618408
6,55855,-1,Feature 5,4,0.020604283144956614,0.9502103924751282
6,55855,-1,FIS,5,0.02455232314579168,-0.4957694113254547
6,55855,-1,Ag,6,0.028339889736585095,0.703346312046051
6,55855,-1,As,7,0.10577113571351207,3.3911900520324707
6,55855,-1,Au,8,0.4374320568036292,1.1046738624572754
6,55855,-1,Cu,9,0.00352740525484559,0.9450125098228455
6,55855,-1,Sb,10,0.00507399388523204,-0.08610153943300247
6,55855,-1,ΔT,11,0.0033492019239713417,0.09814175218343735
7,131627,-1,Feature 1,0,-0.012115262257074256,-0.1333499550819397
7,131627,-1,Feature 2,1,-0.021862369970502615,-0.4145877957344055
7,131627,-1,Feature 3,2,0.023167041346304627,-0.42080527544021606
7,131627,-1,Feature 4,3,-0.021846455927308092,-0.6178461909294128
7,131627,-1,Feature 5,4,0.001224877454517874,0.14686837792396545
7,131627,-1,FIS,5,-0.014718061575080656,0.8696214556694031
7,131627,-1,Ag,6,-0.070882468060599,2.139500856399536
7,131627,-1,As,7,0.010212237485001593,0.36960768699645996
7,131627,-1,Au,8,-0.025767092048091363,0.007585161831229925
7,131627,-1,Cu,9,-0.0002603594712309537,-0.4731188714504242
7,131627,-1,Sb,10,0.004278904811998155,-0.1831386238336563
7,131627,-1,ΔT,11,0.01479721225749568,0.07971526682376862
8,60164,-1,Feature 1,0,0.002554321026460031,0.10684895515441895
8,60164,-1,Feature 2,1,0.0022230499173274895,1.28213632106781
8,60164,-1,Feature 3,2,-0.054276456672180576,1.4024428129196167
8,60164,-1,Feature 4,3,-0.21880221354491244,1.5471057891845703
8,60164,-1,Feature 5,4,-0.015812114203538,-0.30105024576187134
8,60164,-1,FIS,5,0.04252504661031629,-0.5861924886703491
8,60164,-1,Ag,6,-0.003516273234144114,0.2874999940395355
8,60164,-1,As,7,-0.01754864250533546,-0.10280684381723404
8,60164,-1,Au,8,0.8638483024880355,2.4160354137420654
8,60164,-1,Cu,9,0.17670911002194684,1.8021668195724487
8,60164,-1,Sb,10,0.00932976239331139,-0.33713245391845703
8,60164,-1,ΔT,11,0.011512924684009156,0.13888193666934967
9,97255,-1,Feature 1,0,-0.03565772252716272,0.43875083327293396
9,97255,-1,Feature 2,1,-0.004319679688401398,-0.6352851390838623
9,97255,-1,Feature 3,2,-0.004833520836784791,-1.06827974319458
9,97255,-1,Feature 4,3,0.060780129956822075,-0.9580793976783752
9,97255,-1,Feature 5,4,-0.033198119844052944,0.5612054467201233
9,97255,-1,FIS,5,0.022181794383823016,0.36105501651763916
9,97255,-1,Ag,6,-0.009205543099288033,0.260482519865036
9,97255,-1,As,7,-0.003012253431568065,0.5220654606819153
9,97255,-1,Au,8,-0.02064361768874229,-0.2209412306547165
9,97255,-1,Cu,9,0.006997925585575495,-0.1987987607717514
9,97255,-1,Sb,10,0.01081116338210456,-0.3378054201602936
9,97255,-1,ΔT,11,0.027980798389828268,-0.0803816020488739
10,297718,-1,Feature 1,0,0.031802205149601734,-1.2268534898757935
10,297718,-1,Feature 2,1,-0.09270136201213994,-1.6639864444732666
10,297718,-1,Feature 3,2,-0.008880788060665164,-1.553653359413147
10,297718,-1,Feature 4,3,0.040306996708669066,-0.19506004452705383
10,297718,-1,Feature 5,4,-0.023559440779786778,1.1665441989898682
